id,host_name,host_since,latitude,longitude,room_type,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,has_availability,availability_30,availability_60,availability_90,availability_365,x,y
17588978,South Kohala,11/10/2015,20.00163935,-155.8087014,Entire home/apt,2,2,3,733,,,$0.00 ,$315.00 ,1,$0.00 ,t,9,9,9,187,206107.4082,2214128.027
17588984,South Kohala,11/10/2015,19.94251012,-155.8737548,Entire home/apt,4.5,4,4,4885,,,$0.00 ,$774.00 ,1,$0.00 ,t,4,9,27,275,199183.7961,2207694.077
17588992,South Kohala,11/10/2015,19.99577201,-155.8236421,Entire home/apt,4.5,4,5,5496,,,$0.00 ,$800.00 ,1,$0.00 ,t,5,7,26,244,204532.1298,2213504.459
17589030,South Kohala,11/10/2015,20.00126915,-155.8114967,Entire home/apt,3,3,4,1343,,,$0.00 ,$618.00 ,1,$0.00 ,t,16,33,54,296,205814.0481,2214091.936
17814073,Noelani,3/20/2017,20.0371673,-155.6375422,Entire home/apt,2,3,3,220,,,$100.00 ,$175.00 ,1,$0.00 ,t,6,6,15,269,224089.0316,2217771.236
18042567,Katherine,2/20/2012,19.44078433,-155.2800722,Entire home/apt,1,0,3,85,,,,$50.00 ,2,$10.00 ,t,7,19,25,25,260612.0757,2151186.368
18508882,South Kohala,11/10/2015,20.0083275,-155.8176072,Entire home/apt,4,4,6,2443,,,$0.00 ,$670.00 ,1,$0.00 ,t,9,29,50,265,205187.4312,2214884.501
18676605,Hannah,7/4/2013,20.02747917,-155.7071938,Entire home/apt,2,3,3,250,,,,,1,$0.00 ,t,0,0,0,0,216781.3337,2216814.812
18688103,Patricia,6/18/2016,20.03858141,-155.6351008,Entire home/apt,1,1,2,112,,,$0.00 ,$55.00 ,4,$25.00 ,t,3,15,36,311,224347.0329,2217923.818
18690624,South Kohala,11/10/2015,19.94993345,-155.851588,Entire home/apt,4.5,4,5,2443,,,$0.00 ,$565.00 ,1,$0.00 ,t,16,17,26,268,201519.6101,2208476.724
18731755,Ceri,1/19/2014,20.02928361,-155.6695303,Entire home/apt,1,1,1,80,,,,$40.00 ,1,$0.00 ,t,11,33,56,146,220726.9833,2216951.261
18750426,Hannah,7/4/2013,20.02775392,-155.7069066,Entire home/apt,1,0,1,110,,,$0.00 ,$60.00 ,2,$0.00 ,t,6,6,6,210,216811.8897,2216844.755
18895588,South Kohala,11/10/2015,20.00675783,-155.8114794,Entire home/apt,3.5,3,3,2443,,,$0.00 ,$618.00 ,1,$0.00 ,t,9,35,49,230,205826.0727,2214699.848
19017021,Robert,2/11/2016,19.94289751,-155.8557988,Private room,1.5,1,1,159,,,$200.00 ,$89.00 ,2,$0.00 ,t,8,22,45,135,201065.3142,2207704.885
19456352,Jason & Annie,4/21/2016,20.04689271,-155.6092132,Entire home/apt,1,1,0,75,,,$100.00 ,$75.00 ,3,$45.00 ,t,4,15,40,305,227070.9123,2218801.767
19521497,South Kohala,11/10/2015,19.92107587,-155.8866654,Entire home/apt,2,2,3,482,,,$0.00 ,$268.00 ,1,$0.00 ,t,11,21,23,274,197790.6577,2205343.06
19521507,South Kohala,11/10/2015,19.94379951,-155.8567093,Entire home/apt,3.5,3,4,1038,,,$0.00 ,$404.00 ,1,$0.00 ,t,0,0,0,168,200971.6459,2207806.419
19521511,South Kohala,11/10/2015,19.94851192,-155.8569724,Entire home/apt,2,2,3,519,,,$0.00 ,$299.00 ,1,$0.00 ,t,20,22,27,280,200952.9745,2208328.861
19521516,South Kohala,11/10/2015,19.94473294,-155.8654635,Entire home/apt,2,1,1,916,,,$0.00 ,$299.00 ,1,$0.00 ,t,0,7,7,214,200056.4687,2207925.442
19521529,South Kohala,11/10/2015,19.9382574,-155.8613562,Entire home/apt,3.5,3,4,2443,,,$0.00 ,$670.00 ,1,$0.00 ,t,0,17,21,285,200474.4511,2207200.833
